departure_airport,arrival_airport,airlines,aircraft_types
Almaty Airport,Beijing Capital International Airport,Shans Air;Tecnicas Fotograficas,Boeing 737-800;Airbus A320
Almaty Airport,Boryspil International Airport,Tecnicas Fotograficas,Airbus A320
Almaty Airport,Domodedovo International Airport,Z-Avia,Boeing 737-500
Almaty Airport,Dushanbe Airport,Welch Aviation;Tecnicas Fotograficas,Boeing 757;Boeing 737;Airbus A320
Almaty Airport,Frankfurt am Main Airport,Eagle Canyon Airlines,Airbus A330-300
Almaty Airport,Heydar Aliyev International Airport,Tecnicas Fotograficas,Embraer 190
Almaty Airport,Hong Kong International Airport,Tecnicas Fotograficas,Boeing 757
Almaty Airport,Incheon International Airport,Tecnicas Fotograficas;Top Sky International,Airbus A330-300;Boeing 767;Boeing 767-300
Almaty Airport,Indira Gandhi International Airport,Tecnicas Fotograficas,Embraer 190;Airbus A320
Almaty Airport,Istanbul Airport,Tecnicas Fotograficas;White,Boeing 737-800;Airbus A320
Almaty Airport,Kazan International Airport,Tecnicas Fotograficas,Embraer 190
Almaty Airport,Kuala Lumpur International Airport,Tecnicas Fotograficas,Boeing 757
Almaty Airport,Kurumoch International Airport,Tecnicas Fotograficas,Embraer 190
Almaty Airport,Kzyl-Orda Southwest Airport,Tecnicas Fotograficas,Embraer 190;Airbus A319;Airbus A320
Almaty Airport,London Heathrow Airport,Tecnicas Fotograficas;Skydrift,Boeing 767;Boeing 757
Almaty Airport,Manas International Airport,Tecnicas Fotograficas;Comfort Express Virtual Charters Albany,Embraer 190;Boeing 757;Airbus A319;BAe 146
Almaty Airport,Pavlodar Airport,Tecnicas Fotograficas,Embraer 190
Almaty Airport,Petropavlosk South Airport,Star Air,Antonov AN-24
Almaty Airport,Pulkovo Airport,Tecnicas Fotograficas;Walsten Air Services,Airbus A319;Airbus A320
Almaty Airport,Sabiha Gokcen International Airport,Tas Aviation,Boeing 737-800
Almaty Airport,Sary-Arka Airport,Tecnicas Fotograficas,Embraer 190;Airbus A319
Almaty Airport,Sharjah International Airport,Sky Limo Corporation,Airbus A320
Almaty Airport,Sheremetyevo International Airport,Tecnicas Fotograficas,Airbus A321;Airbus A320
Almaty Airport,Shymkent Airport,Tecnicas Fotograficas;Star Air,Boeing 757;Boeing 737-500;Embraer 190;Airbus A320;Airbus A319
Almaty Airport,Suvarnabhumi Airport,Tecnicas Fotograficas,Boeing 767;Boeing 757
Almaty Airport,Tan Son Nhat International Airport,Tecnicas Fotograficas,Boeing 757
Almaty Airport,Tashkent International Airport,Tecnicas Fotograficas;Servizi Aerei,Embraer 190;Boeing 757;Airbus A319;Airbus A320
Almaty Airport,Tbilisi International Airport,Tecnicas Fotograficas,Embraer 190
Almaty Airport,Tolmachevo Airport,Vertical-T Air Company,Airbus A320
Almaty Airport,Urumqi Diwopu International Airport,Servicos De Alquiler;Tecnicas Fotograficas,Embraer 190;Boeing 737-700;Airbus A321;Airbus A320
Almaty Airport,Ust-Kamennogorsk Airport,Tecnicas Fotograficas,Embraer 190;Airbus A319;Boeing 757;Airbus A320
Almaty Airport,Vaclav Havel Airport Prague,Tradewind Aviation,Airbus A319
Almeria International Airport,Adolfo Suarez Madrid Barajas Airport,Zephyr Express;Sunshine Air Tours,Canadair Regional Jet 200;Canadair Regional Jet 1000;Canadair Regional Jet 900;Aerospatiale/Alenia ATR 42-600;Aerospatiale/Alenia ATR 72
Almeria International Airport,Barcelona International Airport,Grand China Air;Sunshine Air Tours,Airbus A320
Almeria International Airport,Birmingham International Airport,Mann Yadanarpon Airlines,Airbus A321
Almeria International Airport,Brussels Airport,Samar Air,Airbus A320
Almeria International Airport,Brussels South Charleroi Airport,Sky Wings Airlines,Boeing 737-800
Almeria International Airport,Dublin Airport,Sky Wings Airlines,Boeing 737-800
Almeria International Airport,East Midlands Airport,Sky Wings Airlines,Boeing 737-800
Almeria International Airport,London Gatwick Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Almeria International Airport,London Stansted Airport,Sky Wings Airlines,Boeing 737-800
Almeria International Airport,Manchester Airport,Mann Yadanarpon Airlines,Airbus A321
Almeria International Airport,Melilla Airport,Sunshine Air Tours,Aerospatiale/Alenia ATR 72
Almeria International Airport,Palma De Mallorca Airport,Servicios Aereos Nacionales,Boeing 737-800
Almeria International Airport,Sevilla Airport,Zephyr Express,Aerospatiale/Alenia ATR 42-600
Almeria International Airport,Weeze Airport,Sky Wings Airlines,Boeing 737-800
Almirante Marco Andres Zar Airport,Brigadier Antonio Parodi Airport,Royal American Airways,Saab SF340A/B
Almirante Marco Andres Zar Airport,Comandante Espora Airport,Royal American Airways,Saab SF340A/B
Almirante Marco Andres Zar Airport,General E. Mosconi Airport,Royal American Airways,Saab SF340A/B
Almirante Marco Andres Zar Airport,Jorge Newbery Airpark,Spanish Air Force,Boeing 737
Almirante Marco Andres Zar Airport,Ministro Pistarini International Airport,Spanish Air Force,Boeing 737
Almirante Marco Andres Zar Airport,San Carlos De Bariloche Airport,Royal American Airways,Saab SF340A/B
Almirante Padilla Airport,El Dorado International Airport,Socofer,Airbus A318;Airbus A319;Airbus A320
Alta Airport,Banak Airport,OCEAN AIR CARGO,De Havilland Canada DHC-8-100 Dash 8 / 8Q;De Havilland Canada DHC-8-300 Dash 8
Alta Airport,Hammerfest Airport,OCEAN AIR CARGO,De Havilland Canada DHC-8-200 Dash 8 / 8Q
Alta Airport,Kirkenes Airport,OCEAN AIR CARGO,De Havilland Canada DHC-8-100 Dash 8 / 8Q
Alta Airport,Oslo Lufthavn,Vuelos Internos Privados VIP;Silesia Air,Boeing 737-600;Boeing 737-300;Boeing 737-700
Alta Airport,Sorkjosen Airport,OCEAN AIR CARGO,De Havilland Canada DHC-8-100 Dash 8 / 8Q;De Havilland Canada DHC-8-200 Dash 8 / 8Q
Alta Airport,Tromso Airport,Vuelos Internos Privados VIP;OCEAN AIR CARGO;Silesia Air,De Havilland Canada DHC-8-100 Dash 8 / 8Q;Boeing 737-700;De Havilland Canada DHC-8-200 Dash 8 / 8Q;Boeing 737-300;De Havilland Canada DHC-8-300 Dash 8
Alta Airport,Vadso Airport,OCEAN AIR CARGO,De Havilland Canada DHC-8-100 Dash 8 / 8Q;De Havilland Canada DHC-8-200 Dash 8 / 8Q
Altai Airport,Bayankhongor Airport,Trans Euro Air,Fokker 50
Altamira Airport,Maestro Wilson Fonseca Airport,Secretaria de Marina,Aerospatiale/Alenia ATR 72
Altamira Airport,Oriximina Airport,Twin Town Leasing Company,Embraer EMB 120 Brasilia
Altamira Airport,Val de Cans/Julio Cezar Ribeiro International Airport,Twin Town Leasing Company;Secretaria de Marina,Embraer 195;Aerospatiale/Alenia ATR 72;Embraer EMB 120 Brasilia
Altay Air Base,Urumqi Diwopu International Airport,Servicos De Alquiler;Servicios Aereos Profesionales,Embraer 190;Boeing 737-700
Altoona Blair County Airport,John Murtha Johnstown Cambria County Airport,XP Internation,Saab SF340A/B
Altoona Blair County Airport,Washington Dulles International Airport,XP Internation,Saab SF340A/B
Amado Nervo National Airport,General Abelardo L. Rodriguez International Airport,Flybe Finland Oy,Airbus A319
Amado Nervo National Airport,Licenciado Benito Juarez International Airport,Norlandair;Sky Bahamas,Aerospatiale/Alenia ATR 42-600
Amasya Merzifon Airport,Istanbul Airport,White,Airbus A320
Amasya Merzifon Airport,Sabiha Gokcen International Airport,Tas Aviation,Boeing 737-800
Amborovy Airport,Dzaoudzi Pamandzi International Airport,Transportacion Aerea del Norte,Aerospatiale/Alenia ATR 72
Amborovy Airport,Ivato Airport,Transportacion Aerea del Norte,Aerospatiale/Alenia ATR 42-500;Aerospatiale/Alenia ATR 72
Amilcar Cabral International Airport,Amsterdam Airport Schiphol,Air Italy Egypt,Boeing 737-800
Amilcar Cabral International Airport,Charles de Gaulle International Airport,Air Italy Egypt;Vickers Limited,Boeing 737-800;Boeing 757-200
